from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5887314;5976964;260;18233;84;79;30284;89;77;28735;40;27705;35;27705
5887315;5976964;260;18192;78;76;29916;81;72;28286;41;27652;35;27652
5887316;5976964;264;18480;80;75;28767;85;74;28842;41;27882;35;27882
5887317;5976964;266;18603;79;74;28676;84;73;28674;42;28189;37;28189
5887318;5976964;270;18884;79;72;28698;82;76;28614;43;28477;37;28477
5887319;5976964;276;19313;77;71;28842;80;74;28280;44;30099;38;30099
5887320;5976964;279;19497;80;74;28451;85;76;28447;43;29729;37;29729
5887321;5976964;287;20115;81;74;27992;85;75;27988;43;29672;37;29672
5887322;5976964;286;20050;79;73;27927;83;74;27924;43;29609;37;29609
5887323;5976964;290;20322;83;77;28199;87;78;28196;46;30007;40;30007
5887324;5976964;303;21210;77;70;25848;82;75;25848;41;28385;35;28385
5887325;5976964;296;20700;74;64;25455;76;69;25455;41;25698;36;25698
5887326;5976964;293;20536;69;62;25136;72;60;25136;39;25478;34;25478
5887327;5976964;298;20835;72;65;25370;73;60;23226;38;26089;32;26089
5887328;5976964;302;21130;72;66;25125;75;57;22962;37;25802;32;25802
5887329;5976964;301;21050;69;61;25825;75;52;22646;36;25088;31;25088
5887330;5976964;305;21339;72;64;23966;76;56;22958;34;24970;29;24970
5887331;5976964;306;21452;69;59;23647;75;52;22638;35;25359;30;25359
5887332;5976964;311;21790;75;63;23888;76;55;22879;37;25699;32;25699
5887333;5976964;316;22100;79;67;24197;76;60;23188;41;25977;37;25977
5887334;5976964;317;22186;78;68;26824;77;67;26827;45;26988;39;27712
5887335;5976964;320;22401;79;67;26740;79;66;26744;41;29321;35;29321
5887336;5976964;323;22640;78;68;27001;78;67;27005;40;29331;35;29331
5887337;5976964;325;22727;79;71;27657;74;69;27661;38;28434;33;28434
5887338;5976964;326;22831;78;70;27591;74;68;27595;39;28255;34;28255
5887339;5976964;330;23116;78;65;26669;74;66;26669;39;28459;33;28459
5887340;5976964;335;23470;72;67;26293;73;68;26533;40;29295;34;29295
5887341;5976964;340;23806;68;63;26021;73;69;26018;39;28879;34;28879
5887342;5976964;343;24042;69;65;26163;72;66;26145;39;29004;34;29004
5887343;5976964;344;24103;70;66;25918;70;67;25919;40;29372;35;29372
5887344;5976964;345;24174;72;67;26015;72;66;26120;38;29231;33;29231
5887345;5976964;353;24724;76;68;28224;77;65;28209;39;29686;34;29692
5887346;5976964;349;24460;75;69;28351;76;66;28335;39;30052;34;30052
5887347;5976964;354;24812;75;68;28259;77;65;28243;40;30424;35;30424
5887348;5976964;356;24952;77;66;28007;77;67;28370;44;30777;38;30777
5887349;5976964;362;25348;75;60;27594;78;64;27592;43;30945;37;30945
5887350;5976964;365;25546;70;57;27380;79;61;27378;43;32162;37;32162
5887351;5976964;367;25658;69;57;27108;78;61;27105;43;31948;37;31948
5887352;5976964;371;25963;73;59;27046;77;60;27043;43;32169;38;32169
5887353;5976964;374;26194;71;57;26952;75;58;26948;43;31797;37;31776
5887354;5976964;379;26537;74;62;27289;77;63;27286;43;32112;37;32112
5887355;5976964;382;26705;72;65;27480;76;67;31301;43;32322;37;32301
5887356;5976964;390;27292;76;68;28002;77;64;28002;45;32650;40;32650
5887357;5976964;391;27370;73;63;27645;76;59;27646;44;32621;38;32621
5887358;5976964;392;27416;72;62;27653;76;59;27653;49;32978;43;32978
5887359;5976964;399;27910;70;64;28397;74;67;28229;46;33387;40;33387
5887360;5976964;399;27954;68;61;28150;73;65;28273;48;33608;42;33608
5887361;5976964;403;28200;69;64;28673;75;68;28797;49;34146;42;34146
5887362;5976964;404;28298;71;64;28725;76;68;28849;48;33981;41;33981
5887363;5976964;408;28542;75;68;29308;79;72;29432;52;34613;45;34613
5887364;5976964;412;28813;80;74;29368;85;76;29369;57;35116;50;35116
5887365;5976964;421;29486;88;73;31047;89;76;31056;50;35860;43;36294
5887366;5976964;426;29810;91;77;31370;96;80;31380;50;35820;43;36253
5887367;5976964;431;30202;96;83;31762;102;86;31771;51;36221;44;36655
5887368;5976964;436;30514;100;83;33226;103;90;32084;51;36462;44;36895
5887369;5976964;442;30935;99;80;33011;102;92;34895;53;37026;46;37460
5887370;5976964;445;31131;97;76;32741;102;88;34624;53;37111;46;37544
5887371;5976964;447;31286;102;78;32897;103;90;34780;55;37497;48;37930
5887372;5976964;456;31918;121;91;33785;105;103;35668;55;37864;48;38297
5887373;5976964;458;32084;121;90;34813;105;102;36697;55;38090;48;38523
5887374;5976964;462;32349;124;90;34870;105;102;36754;55;38342;48;38775
5887375;5976964;466;32649;110;81;34186;102;93;36070;56;38717;49;39150
5887376;5976964;469;32831;112;81;34180;102;93;36064;57;38776;50;39209
